source_id,ibge_code,municipality,records_2024_p6,status_2024_p6,records_2025_p6,status_2025_p6,accessed_at
fnde_siope_indicators_odata,4300034,Aceguá,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300059,Água Santa,46,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300109,Agudo,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300208,Ajuricaba,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300307,Alecrim,20,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300406,Alegrete,46,covered,0,missing,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300455,Alegria,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300471,Almirante Tamandaré do Sul,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300505,Alpestre,46,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300554,Alto Alegre,20,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300570,Alto Feliz,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300604,Alvorada,46,covered,23,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300638,Amaral Ferrador,46,covered,20,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300646,Ametista do Sul,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300661,André da Rocha,46,covered,20,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300703,Anta Gorda,22,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300802,Antônio Prado,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300851,Arambaré,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300877,Araricá,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4300901,Aratiba,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301008,Arroio do Meio,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301057,Arroio do Sal,21,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301073,Arroio do Padre,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301107,Arroio dos Ratos,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301206,Arroio do Tigre,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301305,Arroio Grande,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301404,Arvorezinha,46,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301503,Augusto Pestana,20,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301552,Áurea,46,covered,20,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301602,Bagé,46,covered,23,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301636,Balneário Pinhal,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301651,Barão,46,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301701,Barão de Cotegipe,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301750,Barão do Triunfo,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301800,Barracão,46,covered,23,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301859,Barra do Guarita,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301875,Barra do Quaraí,21,covered,0,missing,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301909,Barra do Ribeiro,20,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301925,Barra do Rio Azul,46,covered,23,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4301958,Barra Funda,46,covered,19,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302006,Barros Cassal,46,covered,46,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302055,Benjamin Constant do Sul,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302105,Bento Gonçalves,25,covered,25,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302154,Boa Vista das Missões,46,covered,21,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302204,Boa Vista do Buricá,46,covered,22,covered,2026-07-20T17:40:46Z
fnde_siope_indicators_odata,4302220,Boa Vista do Cadeado,20,covered,18,covered,2026-07-20T17:40:46Z
