municipio,indicador,valor,meta,evidencia,motivo_evidencia,trajetoria,pares,governabilidade,exposicao,classificacao,colecao_selecionada,presenca_cabecalho,presenca_financiamento,classificacao_esperada,conformidade,divergencia,razoes,posicao_anterior,posicao_nova
Aceguá,População de 0 a 3 anos que frequenta a escola/creche,5.472636815920398,60.0,medium,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE,moving_away,5.0,direct,dependency_components_not_reconciled,municipal_direct_action,municipal_action,sim,sim,municipal_direct_action,conforme,,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|PACE_MOVING_AWAY|SCENARIO_BELOW_REFERENCE|LOW_PEER_PERCENTILE,2,1
Aceguá,População de 4 a 5 anos que frequenta a escola/creche,122.22222222222223,100.0,high,STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY,target_already_met,85.0,direct,dependency_components_not_reconciled,preserve_result,preservation,nao,nao,preserve_result,conforme,,STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY,,
Aceguá,População de 6 a 17 anos que frequenta a educação básica,111.77347242921014,100.0,high,STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY,target_already_met,75.0,shared,dependency_components_not_reconciled,preserve_result,preservation,nao,nao,preserve_result,conforme,,STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY,,
Aceguá,Matrículas da educação básica de estudantes de 15 a 17 anos em relação à população da faixa,94.375,85.0,insufficient,METHODOLOGY_INCOMPATIBLE,not_applicable,indicator_not_in_analyzed_universe,state_led,dependency_components_not_reconciled,insufficient_evidence,investigation,nao,nao,insufficient_evidence,conforme,,METHODOLOGY_INCOMPATIBLE,,
Aceguá,Alunos do público-alvo da ETI em jornada integral na rede pública,17.381738173817382,35.0,medium,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE,sufficient,35.0,shared,dependency_components_not_reconciled,municipal_action_with_coordination,,nao,nao,municipal_action_with_coordination,conforme,,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE,10,
Aceguá,Escolas públicas com alunos em jornada de tempo integral,20.0,50.0,medium,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE,stable,27.5,shared,60.0,municipal_action_with_coordination,municipal_action,nao,sim,municipal_action_with_coordination,conforme,,LEGAL_CORRESPONDENCE_PARTIAL|STATE_BENCHMARK_AVAILABLE|PEER_BENCHMARK_AVAILABLE|TRAJECTORY_STABLE|SCENARIO_BELOW_REFERENCE|UNFAVORABLE_STATE_DIFFERENCE,8,2
Aceguá,Oferta de AEE e salas de recursos na educação especial,42.857142857142854,,insufficient,METHODOLOGY_INCOMPATIBLE|PROXY_NOT_VALIDATED,not_applicable,indicator_not_in_analyzed_universe,shared,dependency_components_not_reconciled,insufficient_evidence,investigation,nao,nao,insufficient_evidence,conforme,,METHODOLOGY_INCOMPATIBLE|PROXY_NOT_VALIDATED,,
Aceguá,Percentual das matrículas da EJA articuladas à educação profissional,0.0,25.0,medium,STATE_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY|SCENARIO_AVAILABLE,stable,municipal_offering_size_unavailable,shared,dependency_components_not_reconciled,municipal_action_with_coordination,,nao,nao,municipal_action_with_coordination,conforme,,STATE_BENCHMARK_AVAILABLE|SUFFICIENT_HISTORY|SCENARIO_AVAILABLE,1,
Aceguá,Ensino médio articulado à educação profissional técnica,0.0,50.0,insufficient,METHODOLOGY_INCOMPATIBLE,not_applicable,indicator_not_in_analyzed_universe,state_led,dependency_components_not_reconciled,insufficient_evidence,investigation,nao,nao,insufficient_evidence,conforme,,METHODOLOGY_INCOMPATIBLE|UNFAVORABLE_STATE_DIFFERENCE,,
Aceguá,Participação acumulada do segmento público na expansão da EPT de nível médio,,50.0,insufficient,DATA_UNAVAILABLE|COMPARISON_NOT_ELIGIBLE|VALUE_DOMAIN_INCOMPATIBLE,insufficient_history,indicator_not_in_analyzed_universe,state_led,observation_year_unavailable,insufficient_evidence,investigation,nao,nao,insufficient_evidence,conforme,,DATA_UNAVAILABLE|COMPARISON_NOT_ELIGIBLE|VALUE_DOMAIN_INCOMPATIBLE,,
