indicador_id,indicador,municipal_direct_action,municipal_action_with_coordination,intergovernmental_coordination,investigate_data_or_supply,preserve_result,monitor,insufficient_evidence,evidencia_high,evidencia_medium,evidencia_low,evidencia_insufficient,governabilidade_direct,governabilidade_shared,governabilidade_state_led,governabilidade_federal_led,governabilidade_territorial,governabilidade_informational,exposicao_disponivel,presenca_attention_items_legado
acesso_internet_computador,Escolas com acesso dos alunos à internet por computador,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
acesso_internet_disp_pessoais,Escolas com acesso dos alunos à internet por dispositivos pessoais,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
adequacao_af,Docentes com formação adequada nos anos finais,0,497,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,497
adequacao_ai,Docentes com formação adequada nos anos iniciais,0,480,0,0,17,0,0,0,0,0,0,0,497,0,0,0,0,0,480
adequacao_em,Docentes com formação adequada no ensino médio,0,0,496,0,0,0,1,0,0,0,0,0,0,497,0,0,0,0,496
aee,Oferta de AEE e salas de recursos na educação especial,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
alfabetizacao,Estudantes alfabetizados na rede pública,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
alfabetizacao_pop_15_mais,Taxa de alfabetização da população de 15 anos ou mais,0,356,0,0,141,0,0,0,0,0,0,0,0,0,0,497,0,0,356
banda_larga,Escolas com internet banda larga,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
basico_15_17,Matrículas da educação básica de estudantes de 15 a 17 anos em relação à população da faixa,0,0,0,0,0,0,497,0,0,0,0,0,0,497,0,0,0,0,0
basico_6_17,População de 6 a 17 anos que frequenta a educação básica,0,411,0,0,86,0,0,0,0,0,0,0,0,0,0,497,0,0,411
basico_integral,Alunos do público-alvo da ETI em jornada integral na rede pública,0,390,0,0,107,0,0,0,0,0,0,0,497,0,0,0,0,0,390
comp_portatil_aluno,Escolas com computadores portáteis para alunos,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
conselho_escolar,Escolas públicas com conselho escolar instituído e em funcionamento,0,315,0,0,182,0,0,0,0,0,0,0,497,0,0,0,0,0,315
creche,População de 0 a 3 anos que frequenta a escola/creche,357,0,0,0,140,0,0,0,0,0,0,497,0,0,0,0,0,0,357
desktop_aluno,Escolas com computadores de mesa para alunos,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
educacao_ambiental,Escolas que promovem educação ambiental,0,438,0,0,59,0,0,0,0,0,0,0,497,0,0,0,0,0,438
eja_integrada_educacao_profissional_percentual,Percentual das matrículas da EJA articuladas à educação profissional,0,331,0,0,7,0,159,0,0,0,0,0,497,0,0,0,0,0,331
escolas_integral,Escolas públicas com alunos em jornada de tempo integral,0,321,0,0,176,0,0,0,0,0,0,0,497,0,0,0,0,484,321
fundamental_concluido_15_29,População de 15 a 29 anos com ensino fundamental concluído,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,497
fundamental_concluido_18_mais,População de 18 anos ou mais com ensino fundamental concluído,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,497,0,0,0
idade_regular_medio,Estudantes que concluem o ensino médio na idade regular,0,0,386,0,107,0,4,0,0,0,0,0,0,497,0,0,0,0,386
idade_regular_nono,Estudantes que concluem os anos finais na idade regular,0,457,0,0,37,0,3,0,0,0,0,0,497,0,0,0,0,0,457
idade_regular_quinto,Estudantes que concluem os anos iniciais na idade regular,0,470,0,0,24,0,3,0,0,0,0,0,497,0,0,0,0,0,470
internet,Escolas da educação básica com acesso à internet,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
internet_alunos,Escolas com internet disponível para os alunos,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
internet_aprendizagem,Escolas com internet usada na aprendizagem,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
internet_comunidade,Escolas com internet aberta à comunidade,0,0,0,0,0,0,497,0,0,0,0,0,497,0,0,0,0,0,0
medio_concluido_18_29,População de 18 a 29 anos com ensino médio concluído,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,497
medio_concluido_18_mais,População de 18 anos ou mais com ensino médio concluído,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,497
medio_tecnico_articulado_percentual,Ensino médio articulado à educação profissional técnica,0,0,0,0,0,0,497,0,0,0,0,0,0,497,0,0,0,0,0
medio_tecnico_participacao_publica,Participação acumulada do segmento público na expansão da EPT de nível médio,0,0,57,0,113,0,327,0,0,0,0,0,0,497,0,0,0,0,57
pos_graduacao,Docentes da educação básica com pós-graduação,0,319,0,0,178,0,0,0,0,0,0,0,497,0,0,0,0,0,319
